Bakim Yeri	Ekipman	Teknik Tanitici Numarasi	SCE Grubu	SCE Sebebi	Ekipman Tipi
1007	1100038253	206-2-HCV1-0308	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100122373	206-2-LPV1-0322	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100039466	206-2-LZH1-03212	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Nuclear Radiation Level Switch
1007	1100039490	206-2-LZH1-0413-2	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Nuclear Radiation Level Switch
1007	1100031492	206-2-PCV1-0001	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031507	206-2-PCV1-0002	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031522	206-2-PCV1-0003	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031536	206-2-PCV1-0004	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031552	206-2-PCV1-0005	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031568	206-2-PCV1-0006	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031583	206-2-PCV1-0007	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031598	206-2-PCV1-0008	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100038488	206-2-PPV1-0243	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100028559	206-2-PT1-0243	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028575	206-2-PT1-0244	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028738	206-2-PT1-0307	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028664	206-2-PT1-1906-F	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028678	206-2-PT1-1907-G	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
